City,AQI,IDX,IAQI,Dominant Pollutant,Date
Plantation,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
Colorado Springs,21,6316,9.0,pm25,2020-08-13T15:00:00-06:00
Modesto,66,287,3.0,o3,2020-08-13T14:00:00-07:00
Grand Rapids,48,5327,4.0,o3,2020-08-13T17:00:00-06:00
Oak Park,25,7595,1.3,pm25,2020-08-13T16:00:00-06:00
Sarasota,19,6307,1.0,pm25,2020-08-13T17:00:00-06:00
Bellflower,129,244,3.7,pm25,2020-07-22T13:00:00-07:00
Boulder,46,6313,1.0,pm10,2020-08-13T14:00:00-06:00
Riverside,54,252,3.2,pm10,2020-08-13T15:00:00-07:00
Bolingbrook,26,9535,0.3,pm25,2020-08-13T16:00:00-06:00
Glenview,50,7404,3.0,o3,2020-08-13T16:00:00-06:00
Lincoln,25,7364,3.0,pm25,2020-08-13T16:00:00-06:00
Oklahoma City,53,10178,3.0,pm25,2020-08-13T16:00:00-06:00
Oro Valley,49,9616,3.5,o3,2020-08-13T14:00:00-07:00
Mesa,60,5956,2.7,o3,2020-08-13T15:00:00-07:00
Mishawaka,41,7510,3.0,o3,2020-08-13T17:00:00-05:00
St. Cloud,30,7342,7.2,pm25,2020-08-13T16:00:00-06:00
Berkeley,70,9061,2.3,pm25,2020-08-13T14:00:00-07:00
Lawton,38,7370,6.6,pm25,2020-08-13T16:00:00-06:00
Eau Claire,39,5928,3.0,pm25,2020-08-13T16:00:00-06:00
Fort Wayne,49,7505,2.0,o3,2020-08-13T17:00:00-05:00
Shoreline,32,117,2.3,pm25,2020-08-13T14:00:00-07:00
Medford,34,10150,0.9,o3,2020-08-11T20:00:00-07:00
Albany,37,9593,0.4,pm25,2020-08-13T16:00:00-04:00
Daly City,53,3900,0.4,pm25,2020-08-13T14:00:00-07:00
Taylor,41,5322,4.0,o3,2020-08-13T17:00:00-06:00
Coon Rapids,34,7346,5.1,o3,2020-08-13T16:00:00-06:00
Orlando,14,6302,2.5,o3,2020-08-13T17:00:00-06:00
Casper,45,11933,10.0,o3,2020-08-13T15:00:00-07:00
Pinellas Park,15,7628,3.0,pm25,2020-08-13T17:00:00-06:00
Kansas City,24,7357,4.6,pm25,2020-08-13T16:00:00-06:00
Wheeling,65,9523,1.3,pm25,2020-08-13T15:00:00-06:00
Newton,31,6295,5.4,pm25,2020-08-13T17:00:00-06:00
Norwich,38,8070,1.0,pm25,2020-08-13T22:00:00+01:00
Newark,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
Alexandria,21,5336,4.6,pm25,2020-08-13T17:00:00-04:00
Blaine,34,7346,5.1,o3,2020-08-13T16:00:00-06:00
Lompoc,50,261,2.5,pm10,2020-08-13T14:00:00-07:00
Denton,55,205,6.6,pm25,2020-08-13T14:00:00-06:00
Galveston,45,197,6.1,pm25,2020-08-13T14:00:00-06:00
Greenwood,24,7357,4.6,pm25,2020-08-13T16:00:00-06:00
Salinas,34,3328,4.6,pm25,2020-08-13T13:00:00-07:00
Melbourne,8,10141,2.5,pm25,2020-08-14T08:00:00+10:00
Palm Bay,22,6283,3.0,pm25,2020-08-13T17:00:00-06:00
Bountiful,79,12876,7.0,pm25,2020-08-13T15:00:00-06:00
Ceres,66,287,3.0,o3,2020-08-13T14:00:00-07:00
Parma,56,9392,3.6,o3,2020-08-12T23:00:00+02:00
Las Cruces,30,9621,3.0,pm25,2020-08-13T14:00:00-06:00
Bozeman,53,7525,1.0,pm25,2020-08-13T14:00:00-07:00
Warren,21,9538,5.6,pm25,2020-08-13T17:00:00-05:00
San Marcos,53,6965,1.3,pm25,2020-08-13T16:00:00-06:00
Wilkes-Barre,41,5910,1.2,o3,2020-08-13T16:00:00-04:00
Appleton,49,5925,1.5,o3,2020-08-13T16:00:00-06:00
Shawnee,34,7407,10.0,pm25,2020-08-13T16:00:00-06:00
Livermore,62,3893,1.5,o3,2020-08-13T14:00:00-07:00
Charlotte,50,9529,2.6,pm25,2020-08-13T17:00:00-05:00
Owensboro,40,7414,5.1,pm25,2020-08-13T13:00:00-05:00
Billings,27,9644,7.6,pm25,2020-08-13T15:00:00-07:00
Wauwatosa,43,5934,0.4,o3,2020-08-13T16:00:00-06:00
New Haven,29,7388,1.0,pm25,2020-08-13T17:00:00-05:00
Knoxville,17,7494,3.0,pm25,2020-08-13T17:00:00-06:00
Murray,75,12860,3.6,pm25,2020-08-13T15:00:00-06:00
Alameda,50,5363,0.5,pm25,2020-08-13T14:00:00-07:00
Manteca,41,284,1.2,o3,2020-08-13T13:00:00-07:00
Maplewood,30,7348,6.1,pm25,2020-08-13T16:00:00-06:00
Medford,34,10150,0.9,o3,2020-08-11T20:00:00-07:00
Yuba City,46,307,4.6,o3,2020-08-13T14:00:00-07:00
Germantown,30,7499,0.6,o3,2020-08-13T16:00:00-06:00
Scranton,29,5906,1.3,pm25,2020-08-13T16:00:00-04:00
Auburn,35,114,1.6,pm25,2020-08-13T14:00:00-07:00
Vacaville,44,306,1.5,o3,2020-08-13T14:00:00-07:00
St. Cloud,30,7342,7.2,pm25,2020-08-13T16:00:00-06:00
Corona,25,60,2.0,pm25,2020-08-13T16:00:00-04:00
Rocklin,52,300,4.1,o3,2020-08-13T14:00:00-07:00
Sandy,99,12859,2.3,pm25,2020-08-13T15:00:00-06:00
Santa Clarita,28,246,1.3,pm25,2020-08-13T14:00:00-07:00
Altamonte Springs,14,6302,2.5,o3,2020-08-13T17:00:00-06:00
Irving,30,204,5.1,o3,2020-08-13T15:00:00-06:00
Alexandria,21,5336,4.6,pm25,2020-08-13T17:00:00-04:00
Kearny,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
Bethlehem,36,5895,1.9,o3,2020-08-13T16:00:00-04:00
Bloomington,44,12845,0.5,pm25,2020-08-13T16:00:00-05:00
Tracy,42,286,3.8,o3,2020-08-13T13:00:00-07:00
Spartanburg,47,7482,0.1,pm25,2020-08-13T14:00:00-05:00
Hempstead,37,63,0.8,pm25,2020-08-13T16:00:00-04:00
Camden,26,10168,1.0,o3,2020-08-13T17:00:00-05:00
Dublin,57,5112,0.6,pm25,2020-08-13T14:00:00+01:00
Elizabeth,53,3558,0.5,pm25,2020-08-13T17:00:00-05:00
Anchorage,18,8693,1.0,pm10,2020-08-13T12:00:00-08:00
Davie,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
McAllen,55,210,4.0,pm25,2020-08-13T14:00:00-06:00
Oakland,50,5363,0.5,pm25,2020-08-13T14:00:00-07:00
Lake Elsinore,34,249,3.4,pm10,2020-08-13T14:00:00-07:00
Provo,59,4468,3.0,pm25,2020-08-13T16:00:00-06:00
Madera,68,4613,3.0,pm10,2020-08-13T14:00:00-07:00
Providence,42,7593,1.5,pm25,2020-08-13T17:00:00-05:00
Hialeah,-,6298,3.0,,2020-08-13T00:00:00-06:00
Ontario,34,255,8.0,pm25,2020-08-13T15:00:00-07:00
Kirkland,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Glendale,38,5954,2.7,o3,2020-08-13T15:00:00-07:00
Westfield,46,3564,0.5,pm25,2020-08-13T17:00:00-05:00
Longmont,57,6325,2.0,pm25,2020-08-13T15:00:00-06:00
Lakewood,34,6323,5.0,pm25,2020-08-13T15:00:00-06:00
